"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"104",2015,18017.2105865388,6442.32780450043,85316.2432848943,9.87677741214398,0.714265587013391,"27","cod",18.0172105865388,6.44232780450043,85.3162432848943
"105",2016,12898.2424831434,4613.59519719952,41924.6320166156,9.47868380570377,0.668511188261695,"27","cod",12.8982424831434,4.61359519719952,41.9246320166156
"106",2017,22945.0145079449,8541.26442478056,60375.0905406682,10.0272850076509,0.606351571182541,"27","cod",22.9450145079449,8.54126442478056,60.3750905406682
"107",2018,18017.4942268616,7689.49091163672,51510.0707232966,9.80285186557163,0.526929044631005,"27","cod",18.0174942268616,7.68949091163672,51.5100707232966
"108",2019,15446.0794986583,5243.48492129097,41086.6301755335,9.69965546784243,0.661105457826339,"27","cod",15.4460794986583,5.24348492129097,41.0866301755335
"109",1993,262061.892189927,91278.0110570937,932022.566999642,12.432394271706,0.627309127907665,"28","cod",262.061892189927,91.2780110570937,932.022566999642
"110",1994,318294.533432306,127138.408335076,1376430.44554518,12.6965728212736,0.628738160817072,"28","cod",318.294533432306,127.138408335076,1376.43044554518
"111",1995,845006.572220395,416260.763066444,3355499.59095795,13.747451124075,0.550782580986815,"28","cod",845.006572220395,416.260763066444,3355.49959095795
"112",1996,315605.307772794,120981.492635427,1147257.67708504,12.7058747353948,0.593022952340529,"28","cod",315.605307772794,120.981492635427,1147.25767708504
"113",1997,164414.555711883,66293.5943505367,553568.639437314,12.0493954201834,0.523453685696773,"28","cod",164.414555711883,66.2935943505367,553.568639437314
"114",1998,139878.736183587,63963.1899810377,429846.824642004,11.9356285165233,0.507321897972103,"28","cod",139.878736183587,63.9631899810377,429.846824642004
"115",1999,141987.533118784,55647.4748137144,437434.808412777,11.917049249346,0.528834599080305,"28","cod",141.987533118784,55.6474748137144,437.434808412777
"116",2000,255524.482748125,92291.8195158279,659448.205095388,12.4614844994785,0.578015523155962,"28","cod",255.524482748125,92.2918195158279,659.448205095388
